nearest_x,run,agent_id,x,y,z
2.000000000000000000e+00,0.000000000000000000e+00,7.700000000000000000e+01,6.227588069584144392e+01,2.187241578866598957e+01,2.530939574958471994e+01
2.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,1.314372717536889112e+01,7.106132565100192977e+00,6.887686760534469954e+01
2.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000000e+01,8.230973851415774334e+01,4.802218933458500061e+01,4.628260483955964233e+00
2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01,8.730676935882679857e+01,8.314606004755721358e+01,8.188673703190677600e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.100000000000000000e+01,2.935863140052344278e+01,6.849118162936484566e+01,8.066440545494553760e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,8.412576073325721993e+00,5.954228643196694648e+00,6.104686188316589579e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.300000000000000000e+01,8.293096835072526574e+01,6.506903990932476844e+00,8.148125039711928252e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,8.844571358968146058e+01,2.357379085113372952e+01,9.145839415471760958e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.500000000000000000e+01,9.067595178137591461e+01,5.287497787466053722e+01,9.179255741125976442e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,9.149046024162241508e+01,5.251516818387737118e+01,8.905688250684691809e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.700000000000000000e+01,9.044196110404166689e+01,4.146818153509344995e+01,2.531490994466650690e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.800000000000000000e+01,1.989601022300677258e+01,3.344110534209603713e+01,9.334606806108919841e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.900000000000000000e+01,5.093833983561547285e+01,4.559715230134752773e+01,6.295960619046039852e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,5.407899508098018337e+00,6.100502513483248457e+00,6.378724400758957813e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.100000000000000000e+01,9.052561062347989207e+01,5.353185694997158350e+01,1.005620266757960657e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,8.827413588157303082e+01,1.977560162008841971e+01,9.144264044818599757e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.300000000000000000e+01,8.480917461412316527e+01,1.819479247492149554e+01,9.015006680640763648e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,9.895825098992922619e+00,6.468986079620771434e+00,7.495050938813244557e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,8.796917390952744142e+01,9.312753416724262934e+01,4.902445435303978627e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000000e+01,8.349026166892925005e+01,8.352862567459556686e+00,7.728855127184468188e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.700000000000000000e+01,9.125558683780538161e+01,3.934075965245790485e+01,2.560347463246966271e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,3.818783973262405596e+01,4.165114533630928406e+01,9.224199884097323832e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000000e+01,9.260689413378634072e+01,1.788660930717053432e+01,5.369439887860226435e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.269875758872729676e+01,2.840995096315421264e+01,1.269951070606986399e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.010000000000000000e+02,8.243645767096575128e+01,7.718073797585611295e+00,8.095677479834422741e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,2.919465827408927083e+01,1.225513932478597745e+01,8.770696317285629107e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.030000000000000000e+02,1.437770487799413388e+01,3.052799776468499715e+01,9.204580201220757374e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000000e+02,5.157509312154054015e+01,2.062077274438481567e+01,9.230064547811777231e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.050000000000000000e+02,9.088260743836086419e+01,4.105792274411885501e+01,2.779281995546025641e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,6.390643334986392432e+01,9.371040852455273296e+01,7.392023580433320262e+01
